Front,Back
"What are the stages from raw text to model input?","Tokenization (text -> token strings) -> tensorization (token -> integer IDs, pad/truncate to uniform length, build attention mask) -> embeddings (IDs -> dense vectors, shape [batch, seq_len, embed_dim])."
"Why did NLP move to subword tokenization (BPE/WordPiece)?","Solves out-of-vocabulary AND caps vocabulary size. Any word decomposes into known pieces (down to characters), so rare/new/misspelled words avoid a lossy [UNK] token."
"What does nn.Embedding store and do?","A learnable lookup table of shape [vocab_size, embedding_dim]. A token ID returns (indexes) its row. Weights are learned (or init from pretrained). Relational geometry (king - man + woman ~= queen) is the real property; dimensions are not individually labeled."
"nn.Embedding vs nn.EmbeddingBag?","Embedding = lookup only, returns per-token vectors [batch, seq_len, dim]. EmbeddingBag = lookup + pooling (mean/sum/max) fused, returns one vector per sequence [batch, dim], more efficient, handles variable length via offsets (no padding/mask)."
"Why use EmbeddingBag for a simple text classifier?","Bag-of-embeddings: represent text as the mean of its word vectors, then one Linear layer. EmbeddingBag does lookup+mean in one step, skips the big intermediate tensor, and handles variable lengths via offsets without padding."
"What does cosine similarity measure and why prefer it over Euclidean for embeddings?","Cosine of the angle between vectors: +1 same direction, 0 unrelated, -1 opposite. Preferred because it ignores magnitude (often incidental, e.g. frequency); direction carries meaning. L2-normalize and Euclidean agrees with cosine."
"Why do padded batches need an attention mask?","Padding adds fake filler tokens (id 0) to square the batch. The mask (1=real, 0=pad) makes the model ignore pad positions (-inf before softmax in attention; excluded from pooling). Without it, padding corrupts the output."
"How does nn.EmbeddingBag avoid the padding/mask problem?","It uses offsets, not padding: a flat concatenation of all sequences plus an offsets tensor marking each start. Each bag pools only its own real tokens, so no pad tokens and no mask are needed."
"Fine-tuning BERT/DistilBERT: what do you keep vs add?","Keep the pretrained transformer encoder + embeddings. Add a new classification head (Linear) on the [CLS]/pooled output for your labels. Full fine-tune (unfreeze whole encoder, small LR ~2e-5) is the common strong recipe; freeze-encoder + train-head is the lighter option."
"What produces DistilBERT and what is the trade-off?","Knowledge distillation: a small student mimics a large teacher's output probabilities. ~40% smaller, ~60% faster, keeps ~97% of BERT's performance. Trade-off: small accuracy drop for a big size/speed win."
"Why is using one model's tokenizer with another model's weights a bug?","Each tokenizer has its own vocab and ID->token mapping. Since embeddings are indexed by ID, mismatched IDs point to the wrong embedding rows, scrambling the input. Pair tokenizer + weights from the same checkpoint."
"Main caveat when reading a t-SNE plot?","It preserves local neighborhoods only, so cluster sizes, gaps, and between-cluster distances are NOT meaningful. It is stochastic (runs differ) and sensitive to perplexity. PCA is the linear, variance-preserving alternative."
