Front,Back
"What two methods must a custom nn.Module define, and what does each do?","__init__ (call super().__init__(), instantiate/register submodules so PyTorch tracks their parameters) and forward (defines the forward computation). Call model(x) not .forward(); backward is auto-derived."
"What is the core structural idea of a Siamese network?","Twin subnetworks that SHARE weights. Both inputs pass through the same backbone into a common embedding space, then you compare by distance/similarity. Weight sharing is what keeps both embeddings in the same space."
"Why use similarity learning (Siamese) instead of a classifier for face/signature verification?","Open-set, few-shot: many identities, few samples each, new ones constantly. A classifier needs fixed classes + retraining to add one. Siamese learns a general similarity metric, so enrolling someone new is just storing a reference embedding; generalizes to unseen identities."
"Triplet loss: inputs and objective?","Inputs: anchor, positive, negative. Objective (relative): d(anchor,negative) > d(anchor,positive) + margin. Loss = max(0, d(a,p) - d(a,n) + margin). Pull positive close, push negative far, only up to the margin. Positive is never pushed away."
"What problem do ResNet skip connections solve, and how?","Vanishing gradients and the degradation problem (deep plain nets get worse on training error). Block computes F(x) + x; the +x path has derivative 1 so gradient flows back unchanged (gradient highway). Also lets a block learn identity by driving F(x) -> 0."
"Key difference between ResNet and DenseNet connections?","ResNet ADDS: F(x) + x, element-wise sum, channels constant. DenseNet CONCATENATES: each layer receives the stacked feature maps of all preceding layers; channels grow by the growth rate k. Concatenation gives feature reuse and fewer params than expected."
"What do DenseNet transition layers do?","Sit between dense blocks and keep growth in check: 1x1 conv to compress channels (compression factor ~0.5) + 2x2 average pooling to downsample spatially. Without them channels and feature-map size explode."
"How do you write a Siamese forward for a pair, and what must you NOT do?","Call the SAME backbone on each input: e1 = self.backbone(x1); e2 = self.backbone(x2); return e1, e2. Do NOT create two separate backbones - that breaks weight sharing and the embeddings no longer share a space."
"At inference, how does an embedding model decide same vs different?","Embed both inputs with the shared backbone, compute distance (Euclidean) or cosine similarity, compare to a THRESHOLD (distance below = same; for cosine, above = same). The threshold is chosen once on a validation set (ROC trade-off of false accept vs reject), fixed at inference."
"How do you build visual search with a trained embedding network?","Train the embedding net; precompute + store embeddings for the whole database offline; at query time embed the query and return top-K nearest by distance. Use an approximate NN index (e.g. FAISS) at scale. Negatives matter only in training; retrieval is pure nearest-neighbor."
