Front,Back
"Why was attention introduced over plain RNN seq2seq?","RNN seq2seq compresses the whole source into one fixed context vector (a bottleneck). Attention lets the decoder look back at all encoder states and weight the relevant ones. Transformers then drop recurrence entirely, so they parallelize across the sequence (RNNs are sequential)."
"What is self-attention, and what are Q, K, V?","Every token attends to every token in the same sequence. From each token's embedding, learned projections produce a Query, Key, and Value. Attention output = softmax(Q K^T / sqrt(d_k)) V."
"Why divide by sqrt(d_k) in scaled dot-product attention?","Without scaling, dot products grow large with dimension and push softmax into saturated regions with tiny gradients. Dividing by sqrt(d_k) keeps the scores in a stable range."
"What is multi-head attention and why use it?","Run attention h times in parallel with different learned projections, then concatenate. Lets the model attend to different relationships / representation subspaces simultaneously."
"Why do transformers need positional encoding?","Self-attention has no recurrence or convolution, so no inherent notion of order. Positional encodings (sinusoidal or learned) are added to embeddings so the model knows token positions."
"What is in a transformer ENCODER block?","Multi-head self-attention + a position-wise feed-forward network, each wrapped with a residual connection and layer normalization. Stack N of them."
"How does a transformer DECODER block differ from an encoder block?","It adds two things: MASKED (causal) self-attention so a position cannot attend to future tokens, and cross-attention over the encoder outputs (Query from the decoder, Key/Value from the encoder), plus the FFN, all with residual + layernorm."
"In encoder-decoder cross-attention, where do Q, K, V come from?","Query comes from the decoder (current target state); Key and Value come from the encoder outputs. This lets the decoder attend to the source sequence while generating the target."
"How does an encoder-decoder transformer do translation?","The encoder reads the whole source sequence into contextual representations; the decoder generates the target autoregressively, cross-attending to the encoder output at each step until an end token."
"How is a transformer encoder used for text classification?","Run the sequence through the encoder stack, pool the token representations (or use a [CLS]/first token), then a classification head (Linear) maps to the labels."
