Front,Back
"Why save a PyTorch model's state_dict instead of the whole model?","state_dict is an ordered dict of the layers' learnable tensors (weights, biases) + buffers (e.g. BatchNorm stats). Saving the whole model pickles the class + file paths and is brittle to code refactors. state_dict decouples weights from code: reload by instantiating the model then load_state_dict."
"What is ONNX and why export a PyTorch model to it?","Open Neural Network Exchange: a universal, self-contained model graph (operators + weights) that decouples the model from its training framework. Export for interoperability (train in PyTorch, deploy anywhere) and optimized, framework-independent inference via ONNX Runtime (CPU/GPU/mobile/edge, faster, no PyTorch in prod)."
"Structured vs unstructured pruning?","Pruning removes parts of the net to shrink/speed it up. Unstructured = zero individual weights (high sparsity but usually no real speedup without sparse kernels). Structured = remove whole filters/channels/neurons (real size + latency wins, coarser). Fine-tune afterward to recover accuracy."
"What does quantization do, and its payoffs/risk?","Maps fp32 -> int8 via a scale + zero-point. Payoffs: ~4x smaller, faster inference, lower memory/energy (great for edge). Risk: precision loss shifts predictions and can drop accuracy."
"Dynamic vs static quantization - when are activations quantized?","Dynamic: weights quantized ahead, activations quantized on the fly at runtime (out of the box, mostly Linear/RNN, not conv). Static: both quantized ahead; needs a calibration pass over representative data to fix activation ranges (supports conv, faster at inference, better results)."
"What is Quantization-Aware Training (QAT)?","Simulate quantization during training with fake-quant nodes so the model learns to be robust to int8 rounding. Recovers most of the accuracy lost versus post-training quantization; used when static/dynamic PTQ drops accuracy too much."
"Edge-deployment optimization playbook?","From the best model: prune (structured) -> retrain to recover accuracy -> quantize last (static or QAT for conv edge models) -> checkpoint throughout -> track in MLflow -> export to ONNX -> deploy and measure latency/size/accuracy vs target, iterate. Measure the trade-off at each step."
"MEND: what bottleneck did attention solve vs what did transformers add?","Attention solved the FIXED-CONTEXT-VECTOR bottleneck of RNN seq2seq (decoder now sees all encoder states, weighted). Parallelization is a SEPARATE advantage of TRANSFORMERS (removing recurrence lets the whole sequence process at once). Keep them distinct."
"MEND: transfer learning - feature extraction vs fine-tuning rule?","Little data -> feature extraction (freeze backbone, train head; avoids overfitting). Lots of data -> fine-tuning (unfreeze, adapt safely). More domain difference from pretraining -> lean toward fine-tuning."
"MEND: in decoder cross-attention, where do Q, K, V come from?","Query from the decoder (what I'm generating now); Key AND Value BOTH from the encoder (the source). Query matches encoder Keys to pick relevant source tokens, then pulls their Values. It is the source-to-target bridge."
"MEND: what does the diffusion U-Net predict during training?","The noise added at a RANDOMLY sampled timestep t (not the final noise). Training: add known noise e at random t -> U-Net predicts e_hat from (noisy image, t) -> loss = MSE(e, e_hat). Conditioning on t lets one net handle all noise levels."
