Front,Back
"In PyTorch, how do you freeze a layer so it is not updated during training?","Set param.requires_grad = False for that layer's parameters. This stops autograd from computing gradients so the optimizer can't update them. (torch.no_grad() is different: it's for inference, not selective freezing.)"
"What is torch.no_grad() for, and why is it NOT how you freeze layers?","It's a context manager that disables gradient tracking for everything inside it, used in inference/validation to save memory. If you wrapped training in it, nothing would train. Freezing specific layers = requires_grad=False."
"When freezing a pretrained backbone that contains BatchNorm, what extra step is needed?","Put the backbone in .eval() mode so BatchNorm stops updating its running mean/var. Otherwise the 'frozen' backbone still drifts through BN statistics."
"What does transforms.Normalize(mean, std) actually do, and how is it different from ToTensor()?","ToTensor scales pixels to [0,1]. Normalize standardizes: subtract mean, divide by std, giving ~zero-mean/unit-variance per channel. They are separate steps."
"For a pretrained model, which mean/std do you use in Normalize and why?","The statistics of the PRETRAINING dataset (ImageNet: mean [0.485,0.456,0.406], std [0.229,0.224,0.225]). The pretrained weights expect that input distribution; wrong/missing stats give out-of-distribution inputs and degraded predictions."
"Which data split(s) get augmentation (flips, rotations, crops) and why?","Train only. It's regularization: more effective variety, fights overfitting. Val/test stay deterministic (resize/crop/normalize only) so metrics are reproducible and reflect real inputs."
"Feature extraction vs fine-tuning in transfer learning?","Feature extraction: freeze the backbone, train only a new head. Fine-tuning: unfreeze some/all layers and train with a SMALL learning rate so pretrained weights adapt without being wiped out."
"When do you choose fine-tuning over feature extraction?","When you have a large dataset and/or a domain very different from the pretraining data. Small data or similar domain -> feature extraction (freeze more, less overfitting)."
"Why is it fine that a newly attached classifier head starts with random weights?","The pretrained backbone already outputs strong features; the head only learns a cheap linear mapping from those features to your classes. You must re-init because the output shape changed (no compatible pretrained weights)."
"What directory layout does ImageFolder expect and how are labels assigned?","root/<class_name>/<images>. Labels come from subfolder names, sorted alphabetically into integer indices exposed as dataset.class_to_idx."
"Name three things a DataLoader adds on top of a Dataset.","Batching (group samples into [batch, ...] tensors), shuffling (shuffle=True per epoch, train only), and parallel loading (num_workers subprocesses). Extras: pin_memory, drop_last, collate_fn."
"In transforms.Compose, why does order matter? Give the canonical ordering.","Transforms run sequentially, each output feeding the next, and each expects a certain input type. Canonical: PIL-based transforms (Resize/Crop/flips) -> ToTensor -> Normalize. Normalize before ToTensor throws (it needs a tensor)."
"What is torchvision.utils.make_grid used for in practice?","Tiles a batch of images into a single grid tensor to plot. Practical use: sanity-check a batch straight from the DataLoader (augmentation not mangled, labels line up, normalization displays sanely) before/while training."
