Front,Back
"The tuning family: what weights does each of the three approaches change? (recurring mend)","Prompt design: NO weights - you only change the input (instructions + examples, incl. few-shot). Parameter-efficient/adapter tuning (LoRA): freeze the base model, train a SMALL set of ADDED adapter weights. Full fine-tuning: update ALL parameters. Trap: few-shot prompting is PROMPT DESIGN, not fine-tuning."
"Is few-shot prompting (examples + output format) prompt design or fine-tuning?","Prompt design. You change only the input (examples + format spec, temp low/0 for determinism); NO weights change. Fine-tuning updates weights on labeled data. Reach for prompt design FIRST for reliable structured output; escalate to supervised fine-tuning only if prompting can't hit the reliability bar at scale."
"The 4-level agent-build spectrum by amount of code (no-code -> build your own)? (RED mend)","Level 4 Solutions (NO code): Gemini Enterprise App, Gemini Enterprise for CX. Level 3: Agent Platform / ADK (Agent Studio = LOW-code entry, ADK = pro-code). Level 2: low-level orchestration framework (LangGraph). Level 1: build your own via function calling. Trap: Agent Studio is low-code NOT no-code; Model Garden is the FOUNDATION-model layer, not agent-build."
"top-p (nucleus sampling): exact definition? (mend)","The smallest SET of top tokens whose CUMULATIVE probability sums to >= p, then sample from that set (the 'nucleus'). NOT 'tokens whose individual probability > p'. p=0.75 = smallest group of most-likely tokens that together account for 75% of the probability mass."
"temperature vs top-k vs top-p in one line each?","Temperature: reshapes the distribution before sampling (low = sharpen to top tokens/focused, high = flatten/creative). Top-k: sample from the k highest-probability tokens (fixed count). Top-p: sample from the smallest set whose cumulative probability >= p (dynamic count). temp=0 = deterministic argmax, so top-k/top-p stop mattering."
"The three components of an AI agent (checklist)?","Model = reasoning (brain); can be ONE or MULTIPLE foundation models (route per task, like a LangChain RouterChain). Tools = external interaction (hands/senses; APIs, search, functions). Orchestration = coordination (nervous system; the reasoning loop deciding next action)."
"The three sections of the Agent Studio UI (checklist)?","1) System instructions: persistent pre-prompt context, applies to the whole request across all turns (guardrails/persona). 2) Model settings: pick model (incl 3rd-party), set parameters (temp/top-k/top-p), enable tools like grounding. 3) Prompt: the multimodal request you draft."
"Grounding: does it change weights, and what happens at inference? (mend the 'cutoff' phrasing)","No weight change. At inference RAG retrieves relevant external/live chunks and injects them into the prompt/context; the model answers conditioned on that pasted text. It does NOT create a 'new cutoff' - the training cutoff is fixed forever; grounding SIDESTEPS it by handing the frozen model fresh reading material each call. Sources in Agent Studio: Google Search or your own data."
"General vs specialty foundation models on GCP, and what 'horizontal AI' means?","General models: Gemini (Pro/Flash/Flash-Lite). Specialty models: Nano Banana (images), Veo (video), Embeddings - purpose-built for one modality, not general. 'Horizontal AI' = broad capability from pretraining on vast data BEFORE fine-tuning; the model is then fine-tuned narrower for a specific use case."
"'Well-defined task + lots of labeled data' points to which learning setup, and the GCP options?","Supervised learning (labels = the supervision that makes it trainable). Two valid GCP expressions: (1) predictive ML classifier - BigQuery ML if data is already structured in the warehouse, AutoML for no-code - and (2) supervised fine-tuning of a GenAI model via Agent Studio/Agent Platform. Both are 'supervised'; that's why the labels matter."
