Front,Back
"What is a feature map in a CNN?","The output of a conv layer: one 2D activation map per filter (stacked = the output volume). Each value is that filter's activation at a spatial location."
"What is a neuron's receptive field, and what is the effective receptive field?","Receptive field = the region of the INPUT image that can influence that unit's value; deeper units see larger regions. The effective RF (Luo et al.) is smaller than the theoretical one and roughly Gaussian - center pixels dominate."
"Name architectural choices that increase the receptive field.","More depth (stacked convs), pooling / strided convolutions (downsampling), larger kernels, and dilated (atrous) convolutions (wider reach with no extra params and no resolution loss)."
"What is a gradient-based saliency map and what does it show?","Gradient of the pre-softmax class score with respect to input pixels; magnitude shows which pixels the prediction is most sensitive to (reduce across channels for a heatmap). Caveat: noisy, only local sensitivity."
"What does a Class Activation Map (CAM) show, and its limitation?","A heatmap of where the network looked for a class = weighted sum of the last conv feature maps by that class's final-layer weights, upsampled. Limitation: requires a Global Average Pooling layer into the final linear/softmax; other nets must be modified and retrained. Grad-CAM removes this using gradients into the last conv layer (any CNN, no retraining)."
"Diffusion: forward vs reverse process?","Forward = add Gaussian noise on a fixed schedule until pure noise (no learning). Reverse = a learned U-Net that iteratively denoises. Generation = start from random noise and run the reverse steps."
"Diffusion training objective, concretely?","Single-step: take a clean image, pick random timestep t, add known noise e to make a noisy image; the U-Net (given noisy image + t) predicts e_hat; loss = MSE(e, e_hat). Iterative denoising only happens at generation time; conditioning on t lets one net handle all noise levels."
"What makes Stable Diffusion (latent diffusion) efficient?","A pretrained VAE encoder compresses the image into a small latent; the whole diffusion U-Net runs in latent space; the VAE decoder reconstructs the image. Latent space is far smaller than pixels, so compute/memory drop massively - why it runs on consumer GPUs."
"What is classifier-free guidance (CFG) and its trade-off?","At each step the model predicts noise conditioned on the prompt and unconditioned (empty prompt) and extrapolates: guided = uncond + scale*(cond - uncond). Scale = how hard to push toward the prompt. High scale = adheres to prompt but over-sharpened/uncanny; low scale = more creative/natural but may drift. Negative prompts fill the unconditioned slot to push away from unwanted content."
"Why does interpretability (saliency/CAM) matter in practice?","Clever Hans / shortcut learning: a model can be right for the wrong reasons (wolf classified by snow background). Saliency/CAM reveal the model looking at the wrong region, so you catch spurious shortcuts and dataset bias before deployment."
"Why is detecting AI-generated images genuinely hard?","No universal fingerprint - each generator/version leaves different artifacts; detectors overfit to specific generators and fail to generalize; artifacts shrink as models improve; and post-processing (compression, resize) scrubs the signals. It is an arms race; lean on per-generator eval + provenance (C2PA)."
